job_id,input,type,metadata_flag
67906,¿Cómo está usted मानक हिन्दी_Вы говорите по-английски-langue d’oïl-C'est très gentil-男は振り回されて夢中になる--learn definitions for words or discover more synonyms.pdf,application/pdf,0
1234567,20220420㈪8件.pdf,application/pdf,0
90130,ADUROBIOTECHINC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF,application/pdf,0
101242,Pourriez-vous parler plus lentement.pdf,application/pdf,0
112354,sample_multi.pdf,application/pdf,0
123466,sample_single.pdf,application/pdf,0
134578,000.pdf,application/pdf,0
134579,0.pdf,application/pdf,0
134580,1.pdf,application/pdf,1
134581,011.pdf,application/pdf,0
134582,100.pdf,application/pdf,0
134583,111.pdf,application/pdf,1
134584,another_0.pdf,application/pdf,0
134585,another_1.pdf,application/pdf,1
134585,調剤明細書sample rotated 90 right.pdf,application/pdf,0
134585,調剤明細書sample rotated 180.pdf,application/pdf,0
134585,調剤明細書sample rotated 270.pdf,application/pdf,0
134585,調剤明細書sample (18).pdf,application/pdf,0
134585,調剤明細書sample rotated 90 left.pdf,application/pdf,0
abc_1123,&^^%#$.pdf,application/pdf,0
abc_1135,blank PDF.pdf,application/pdf,0
